income,age,party,trump_approval,education,robots,climate_change,transformers,science_is_honest,vaccines_are_safe,books,ghosts,fed_sci_budget,earth_sun,wise_unwise
107,76,Independent,Strongly disapprove,College degree,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise but Unhappy
53,65,Republican,Strongly Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,No,About Right,TRUE,Wise but Unhappy
26,48,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,15,Yes,Too Low,FALSE,Happy but Unwise
126,46,Independent,Neither approve nor disapprove,Some college,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,1,No,Too Low,FALSE,Wise but Unhappy
179,50,Republican,Strongly Approve,Graduate degree,Unlikely,Not Real At All,5,Strongly Disagree,Strongly Agree,10,No,Too Low,FALSE,Happy but Unwise
122,48,Republican,Strongly Approve,College degree,Unlikely,Not Real At All,2,Somewhat Disagree,Somewhat Agree,20,No,Too High,FALSE,Happy but Unwise
113,54,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,65,Yes,Too Low,FALSE,Wise but Unhappy
140,21,Independent,Somewhat disapprove,Some college,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,3,No,Too Low,TRUE,Happy but Unwise
207,48,Independent,Somewhat disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,150,No,About Right,FALSE,Happy but Unwise
182,42,Independent,Somewhat disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,12,Yes,Too Low,FALSE,Wise but Unhappy
128,50,Independent,Strongly Approve,Some college,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,5,Yes,Too Low,FALSE,Wise but Unhappy
71,40,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,No,Too Low,FALSE,Wise but Unhappy
70,52,Republican,Strongly Approve,Some college,Unlikely,Real and Caused by People,0,Strongly Disagree,Somewhat Agree,0,No,Too High,FALSE,Wise but Unhappy
144,37,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise but Unhappy
179,45,Independent,Somewhat disapprove,College degree,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,1,Yes,Too Low,FALSE,Happy but Unwise
37,27,Democrat,Neither approve nor disapprove,High school,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,No,About Right,TRUE,Happy but Unwise
113,43,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,12,Yes,Too Low,FALSE,Wise but Unhappy
60,28,Republican,Neither approve nor disapprove,Graduate degree,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,16,No,Too Low,TRUE,Wise but Unhappy
43,80,Democrat,Strongly disapprove,High school,Likely,Not Real At All,2,Strongly Agree,Strongly Agree,25,No,About Right,TRUE,Happy but Unwise
150,68,Republican,Strongly Approve,Graduate degree,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,Too High,FALSE,Happy but Unwise
61,36,Independent,Somewhat disapprove,Graduate degree,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Disagree,12,No,Too Low,TRUE,Happy but Unwise
121,53,Republican,Somewhat Approve,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,35,Yes,About Right,FALSE,Happy but Unwise
64,38,Democrat,Somewhat disapprove,Other,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,10,Yes,Too High,TRUE,Wise but Unhappy
110,37,Republican,Strongly Approve,College degree,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Disagree,10,No,About Right,TRUE,Happy but Unwise
93,42,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,20,Yes,Too Low,TRUE,Happy but Unwise
68,24,Republican,Strongly Approve,Some college,Unlikely,Real and Caused by People,2,Neither Agree nor Disagree,Neither Agree nor Disagree,10,No,About Right,TRUE,Happy but Unwise
36,50,Democrat,Strongly disapprove,College degree,Unlikely,Not Real At All,1,Strongly Disagree,Strongly Agree,2,Yes,Too Low,FALSE,Happy but Unwise
114,53,Republican,Somewhat Approve,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,About Right,FALSE,Happy but Unwise
161,30,Independent,Somewhat disapprove,Other,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,About Right,FALSE,Happy but Unwise
93,20,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,10,Yes,About Right,FALSE,Happy but Unwise
74,67,Republican,Strongly Approve,Some college,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,4,No,About Right,TRUE,Wise but Unhappy
77,18,Republican,Strongly Approve,High school,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,3,Yes,About Right,FALSE,Wise but Unhappy
124,34,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,No,Too Low,FALSE,Wise but Unhappy
60,60,Democrat,Somewhat disapprove,High school,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,About Right,TRUE,Happy but Unwise
71,25,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,5,No,Too Low,FALSE,Wise but Unhappy
48,56,Republican,Strongly Approve,Graduate degree,Unlikely,Real but not Caused by People,2,Strongly Disagree,Somewhat Disagree,4,Yes,Too High,FALSE,Wise but Unhappy
58,50,Republican,Strongly Approve,High school,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,1,No,Too High,FALSE,Happy but Unwise
96,61,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,Yes,Too Low,TRUE,Wise but Unhappy
52,34,Independent,Somewhat Approve,Some college,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,Too Low,TRUE,Wise but Unhappy
103,55,Republican,Strongly Approve,Graduate degree,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,5,No,Too High,FALSE,Happy but Unwise
100,25,Independent,Strongly Approve,High school,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Wise but Unhappy
70,19,Republican,Strongly disapprove,Some college,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,2,Yes,About Right,TRUE,Happy but Unwise
23,70,Independent,Somewhat Approve,Graduate degree,Unlikely,Not Real At All,1,Strongly Disagree,Strongly Agree,1,No,Too High,TRUE,Wise but Unhappy
140,28,Independent,Somewhat disapprove,Some college,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,About Right,TRUE,Happy but Unwise
104,35,Independent,Somewhat Approve,Graduate degree,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,10,Yes,Too Low,FALSE,Happy but Unwise
142,27,Independent,Strongly disapprove,College degree,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,8,No,Too High,FALSE,Happy but Unwise
52,48,Independent,Strongly Approve,Some college,Unlikely,Not Real At All,0,Strongly Agree,Somewhat Agree,5,Yes,Too Low,TRUE,Happy but Unwise
90,50,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,Yes,Too Low,TRUE,Wise but Unhappy
152,30,Independent,Somewhat disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,50,No,About Right,TRUE,Wise but Unhappy
130,35,Democrat,Strongly disapprove,Other,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,8,Yes,Too Low,FALSE,Happy but Unwise
96,22,Democrat,Somewhat disapprove,College degree,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,6,Yes,About Right,TRUE,Happy but Unwise
159,40,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,Yes,Too Low,TRUE,Happy but Unwise
34,70,Independent,Strongly Approve,High school,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,10,No,Too High,TRUE,Happy but Unwise
163,46,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,24,Yes,Too Low,TRUE,Wise but Unhappy
144,42,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,6,No,Too Low,TRUE,Wise but Unhappy
106,36,Republican,Strongly Approve,College degree,Unlikely,Real but not Caused by People,4,Somewhat Agree,Neither Agree nor Disagree,15,No,Too Low,FALSE,Happy but Unwise
88,66,Republican,Strongly disapprove,College degree,Likely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,10,Yes,Too Low,TRUE,Wise but Unhappy
39,71,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Disagree,Somewhat Agree,100,Yes,Too High,TRUE,Wise but Unhappy
57,25,Independent,Strongly disapprove,Graduate degree,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,No,Too High,TRUE,Happy but Unwise
91,69,Republican,Strongly Approve,Some college,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,2,No,About Right,FALSE,Happy but Unwise
65,29,Independent,Strongly disapprove,College degree,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,No,Too Low,TRUE,Wise but Unhappy
57,60,Republican,Strongly Approve,College degree,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,15,Yes,About Right,TRUE,Wise but Unhappy
43,70,Democrat,Strongly disapprove,College degree,Likely,Real and Caused by People,0,Strongly Disagree,Somewhat Disagree,2,No,About Right,FALSE,Happy but Unwise
101,45,Independent,Somewhat Approve,College degree,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,2,No,Too Low,TRUE,Happy but Unwise
152,30,Republican,Neither approve nor disapprove,College degree,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,No,Too High,FALSE,Happy but Unwise
35,63,Republican,Strongly Approve,Graduate degree,Likely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,24,No,About Right,FALSE,Wise but Unhappy
109,51,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise but Unhappy
87,56,Republican,Strongly Approve,High school,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,About Right,TRUE,Happy but Unwise
79,62,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,Too Low,FALSE,Happy but Unwise
73,46,Democrat,Somewhat Approve,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,0,Yes,Too Low,TRUE,Happy but Unwise
89,83,Republican,Strongly Approve,High school,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,12,No,About Right,TRUE,Wise but Unhappy
250,48,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Happy but Unwise
93,54,Independent,Strongly disapprove,Some college,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,15,Yes,Too Low,FALSE,Wise but Unhappy
21,64,Democrat,Strongly disapprove,College degree,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,0,No,About Right,TRUE,Wise but Unhappy
80,62,Republican,Strongly Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,125,No,Too Low,TRUE,Wise but Unhappy
30,68,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise but Unhappy
73,40,Democrat,Strongly disapprove,College degree,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Disagree,10,No,Too Low,TRUE,Wise but Unhappy
133,53,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise but Unhappy
74,85,Democrat,Strongly disapprove,Graduate degree,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,5,No,Too High,TRUE,Happy but Unwise
67,55,Democrat,Somewhat Approve,Some college,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,0,No,Too Low,TRUE,Happy but Unwise
159,52,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,FALSE,Happy but Unwise
101,68,Republican,Strongly Approve,College degree,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,5,No,Too Low,FALSE,Happy but Unwise
109,59,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,Too Low,TRUE,Wise but Unhappy
62,25,Democrat,Strongly disapprove,High school,Likely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,50,Yes,About Right,TRUE,Wise but Unhappy
114,57,Republican,Somewhat Approve,Some college,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,60,Yes,Too Low,TRUE,Happy but Unwise
132,72,Independent,Strongly Approve,High school,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,20,No,About Right,FALSE,Happy but Unwise
79,66,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,3,Yes,About Right,TRUE,Wise but Unhappy
103,49,Independent,Strongly disapprove,Some college,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,Too Low,FALSE,Wise but Unhappy
88,44,Independent,Neither approve nor disapprove,High school,Unlikely,Real and Caused by People,5,Neither Agree nor Disagree,Somewhat Agree,3,No,Too Low,FALSE,Wise but Unhappy
51,58,Republican,Strongly Approve,High school,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,About Right,FALSE,Happy but Unwise
47,55,Democrat,Strongly disapprove,High school,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,15,No,Too Low,TRUE,Happy but Unwise
83,42,Republican,Somewhat Approve,High school,Unlikely,Not Real At All,2,Strongly Agree,Strongly Agree,2,Yes,About Right,TRUE,Happy but Unwise
202,34,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,30,No,Too Low,FALSE,Happy but Unwise
47,47,Independent,Strongly Approve,High school,Unlikely,Real and Caused by People,3,Strongly Disagree,Somewhat Agree,0,No,Too High,TRUE,Happy but Unwise
96,38,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,0,Yes,About Right,FALSE,Wise but Unhappy
67,31,Democrat,Somewhat disapprove,High school,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,2,Yes,Too Low,TRUE,Happy but Unwise
40,49,Democrat,Strongly Approve,Some college,Likely,Real but not Caused by People,0,Strongly Agree,Somewhat Disagree,10,No,About Right,TRUE,Wise but Unhappy
58,52,Independent,Neither approve nor disapprove,Some college,Likely,Not Real At All,5,Strongly Disagree,Somewhat Agree,2,No,Too High,TRUE,Happy but Unwise
113,63,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,No,Too Low,FALSE,Wise but Unhappy
43,26,Democrat,Somewhat disapprove,High school,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,50,Yes,About Right,TRUE,Happy but Unwise
