"participant_id","treat","age_months","female","kindergarten","teacher_id","school_id","private_school","title1","free_reduced_lunch","state","esl_observed","special_ed_observed","new_student","distracted_a1","distracted_a2","distracted_ppvt","score_a1","invalid_a1","score_a2","invalid_a2","score_ppvt","score_ppvt_age","invalid_ppvt","t_logins_april","t_logins_total","t_weeks_used","t_words_learned","t_financial_struggle","t_misbehavior","t_years_experience"
"32012",1,64,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,25,NA,28,0,103,113,0,29,150,22,3,6,3,30
"34697",1,65,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,20,NA,28,0,107,115,0,29,150,22,3,6,3,30
"41016",1,59,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,23,NA,31,0,80,101,0,29,150,22,3,6,3,30
"42810",1,64,0,0,23,"2",1,0,0,2,0,0,0,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46118",1,65,0,0,23,"2",1,0,0,2,0,0,0,0,0,1,22,NA,22,0,101,109,0,29,150,22,3,6,3,30
"55042",1,68,0,0,23,"2",1,0,0,2,0,0,0,0,1,1,28,NA,25,0,105,110,0,29,150,22,3,6,3,30
"56124",1,63,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,26,NA,24,0,91,104,0,29,150,22,3,6,3,30
"57969",1,61,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,26,NA,31,0,93,110,0,29,150,22,3,6,3,30
"64890",1,57,1,0,23,"2",1,0,0,2,0,0,0,1,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71805",1,58,1,0,23,"2",1,0,0,2,0,0,0,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77615",1,59,0,0,23,"2",1,0,0,2,0,0,0,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88131",1,66,1,0,23,"2",1,0,0,2,0,0,0,0,0,1,32,NA,34,0,132,133,0,29,150,22,3,6,3,30
"91767",1,68,0,0,23,"2",1,0,0,2,0,0,0,0,0,0,33,NA,30,0,109,113,0,29,150,22,3,6,3,30
"322",0,51,1,0,11,"3",0,0,41,2,0,0,0,0,3,2,21,NA,24,0,85,98,0,NA,NA,NA,NA,17,1,6
"323",0,45,1,0,11,"3",0,0,41,2,0,0,0,0,2,2,13,NA,15,0,NA,49,1,NA,NA,NA,NA,17,1,6
"324",0,48,1,0,11,"3",0,0,41,2,0,0,0,1,0,0,14,NA,25,0,58,80,0,NA,NA,NA,NA,17,1,6
"325",0,56,0,0,11,"3",0,0,41,2,0,0,0,0,0,0,23,NA,28,0,115,119,0,NA,NA,NA,NA,17,1,6
"326",0,45,0,0,11,"3",0,0,41,2,0,0,0,0,0,1,28,NA,23,0,62,82,0,NA,NA,NA,NA,17,1,6
"327",0,103,0,0,11,"3",0,0,41,2,0,1,1,3,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",0,56,1,0,11,"3",0,0,41,2,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",0,50,0,0,11,"3",0,0,41,2,0,0,0,1,1,1,22,NA,23,0,80,94,0,NA,NA,NA,NA,17,1,6
"330",0,50,1,0,11,"3",0,0,41,2,0,0,0,0,1,1,22,NA,22,0,75,90,0,NA,NA,NA,NA,17,1,6
"11977",0,61,0,0,31,"3",0,0,41,2,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17481",0,60,1,0,31,"3",0,0,41,2,0,0,0,0,0,0,27,NA,25,0,99,114,0,NA,NA,NA,NA,NA,NA,NA
"22333",0,51,1,0,31,"3",0,0,41,2,0,0,0,1,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32879",0,59,0,0,31,"3",0,0,41,2,0,0,0,0,0,1,24,NA,24,0,107,122,0,NA,NA,NA,NA,NA,NA,NA
"55853",0,59,0,0,31,"3",0,0,41,2,0,0,0,0,0,0,28,NA,32,0,107,120,0,NA,NA,NA,NA,NA,NA,NA
"65624",0,51,1,0,31,"3",0,0,41,2,0,0,0,0,0,0,15,NA,21,0,60,83,0,NA,NA,NA,NA,NA,NA,NA
"66632",0,63,1,0,31,"3",0,0,41,2,0,0,0,1,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99534",0,63,1,0,31,"3",0,0,41,2,0,0,0,0,0,1,27,NA,25,0,89,105,0,NA,NA,NA,NA,NA,NA,NA
"319",1,52,0,0,32,"4",0,1,89,2,0,0,0,2,0,0,22,NA,20,0,54,89,0,13,154,NA,NA,NA,NA,NA
"14685",1,64,1,0,32,"4",0,1,89,2,0,0,0,0,0,0,23,NA,18,0,NA,32,1,13,154,NA,NA,NA,NA,NA
"17113",1,67,1,0,32,"4",0,1,89,2,1,0,0,0,0,0,19,NA,15,0,68,86,0,13,154,NA,NA,NA,NA,NA
"22541",1,52,1,0,32,"4",0,1,89,2,0,0,0,0,0,0,27,NA,26,0,87,116,0,13,154,NA,NA,NA,NA,NA
"27811",1,62,1,0,32,"4",0,1,89,2,1,0,0,0,0,0,15,NA,15,0,54,80,0,13,154,NA,NA,NA,NA,NA
"39865",1,63,1,0,32,"4",0,1,89,2,0,0,0,0,NA,0,12,NA,NA,0,51,78,0,NA,NA,NA,NA,NA,NA,NA
"45275",1,58,1,0,32,"4",0,1,89,2,1,0,0,0,0,0,14,NA,16,1,27,62,1,NA,NA,NA,NA,NA,NA,NA
"66629",1,61,1,0,32,"4",0,1,89,2,0,0,0,0,3,3,29,NA,31,0,118,129,0,13,154,NA,NA,NA,NA,NA
"76094",1,65,1,0,32,"4",0,1,89,2,1,0,0,0,0,0,28,NA,21,0,71,89,0,13,154,NA,NA,NA,NA,NA
"77446",1,62,0,0,32,"4",0,1,89,2,1,0,0,1,0,0,13,NA,17,0,33,64,0,13,154,NA,NA,NA,NA,NA
"81201",1,68,1,0,32,"4",0,1,89,2,1,0,0,0,0,0,19,NA,21,0,46,71,0,13,154,NA,NA,NA,NA,NA
"84752",1,65,0,0,32,"4",0,1,89,2,1,0,0,0,0,NA,17,NA,19,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"88977",1,60,0,0,32,"4",0,1,89,2,1,0,0,0,0,2,27,NA,26,0,73,96,0,13,154,NA,NA,NA,NA,NA
"96310",1,69,1,0,32,"4",0,1,89,2,0,0,0,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96721",1,68,0,0,32,"4",0,1,89,2,1,0,0,0,0,0,26,NA,23,0,66,83,0,13,154,NA,NA,NA,NA,NA
"14031",1,51,0,0,59,"5",0,1,93,2,0,1,0,3,0,0,9,NA,11,0,29,72,0,0,21,NA,NA,NA,1,11
"18000",1,66,1,0,59,"5",0,1,93,2,1,0,0,2,0,0,13,NA,13,0,35,64,0,0,21,NA,NA,NA,1,11
"23588",1,67,0,0,59,"5",0,1,93,2,1,1,0,1,NA,0,12,NA,18,0,43,70,0,0,21,NA,NA,NA,1,11
"24926",1,51,0,0,59,"5",0,1,93,2,0,0,0,1,3,3,18,NA,18,0,NA,59,1,0,21,NA,NA,NA,1,11
"26258",1,65,1,0,59,"5",0,1,93,2,1,0,0,0,NA,1,13,NA,11,0,42,70,0,0,21,NA,NA,NA,1,11
"27876",1,67,0,0,59,"5",0,1,93,2,1,1,0,1,0,0,22,NA,18,0,63,83,0,0,21,NA,NA,NA,1,11
"36215",1,59,1,0,59,"5",0,1,93,2,1,0,0,1,0,0,20,NA,16,0,75,99,0,0,21,NA,NA,NA,1,11
"37389",1,47,1,0,59,"5",0,1,93,2,1,1,0,2,3,3,17,NA,13,0,41,88,0,0,21,NA,NA,NA,1,11
"41638",1,58,0,0,59,"5",0,1,93,2,0,0,0,1,0,0,15,NA,22,0,63,89,0,0,21,NA,NA,NA,1,11
"43513",1,61,1,0,59,"5",0,1,93,2,0,0,0,1,0,1,24,NA,19,0,68,91,0,0,21,NA,NA,NA,1,11
"51372",1,59,0,0,59,"5",0,1,93,2,1,1,0,1,2,0,13,NA,14,0,33,67,0,0,21,NA,NA,NA,1,11
"54418",1,62,0,0,59,"5",0,1,93,2,0,0,0,0,0,0,16,NA,15,0,21,54,0,0,21,NA,NA,NA,1,11
"69150",1,64,1,0,59,"5",0,1,93,2,1,0,0,NA,0,0,22,NA,23,0,65,86,0,0,21,NA,NA,NA,1,11
"69620",1,67,1,0,59,"5",0,1,93,2,0,0,0,2,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72981",1,68,0,0,59,"5",0,1,93,2,0,0,0,NA,0,3,23,NA,22,0,98,105,0,0,21,NA,NA,NA,1,11
"77738",1,52,1,0,59,"5",0,1,93,2,0,0,0,1,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78107",1,56,0,0,59,"5",0,1,93,2,1,0,0,3,0,0,10,NA,14,0,20,56,0,0,21,NA,NA,NA,1,11
"79513",1,66,0,0,59,"5",0,1,93,2,1,0,0,1,NA,0,17,NA,16,0,52,76,0,0,21,NA,NA,NA,1,11
"80354",1,67,0,0,59,"5",0,1,93,2,1,0,0,0,0,0,20,NA,19,0,55,77,0,0,21,NA,NA,NA,1,11
"12515",1,52,1,0,13,"6",0,0,20,2,0,0,0,2,1,3,18,NA,23,0,66,98,0,11,95,15,3,0,1.5,8
"19113",1,65,1,0,13,"6",0,0,20,2,0,0,0,0,0,0,29,NA,32,0,93,106,0,11,95,15,3,0,1.5,8
"23265",1,64,1,0,13,"6",0,0,20,2,0,0,0,1,0,0,20,NA,21,0,84,100,0,11,95,15,3,0,1.5,8
"23842",1,67,1,0,13,"6",0,0,20,2,0,0,0,0,1,3,28,NA,19,0,75,90,0,11,95,15,3,0,1.5,8
"31822",1,53,0,0,13,"6",0,0,20,2,0,0,0,1,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59619",1,66,0,0,13,"6",0,0,20,2,0,0,0,0,0,0,29,NA,28,0,89,101,0,11,95,15,3,0,1.5,8
"73477",1,69,0,0,13,"6",0,0,20,2,0,0,0,0,0,0,32,NA,31,0,114,116,0,11,95,15,3,0,1.5,8
"74278",1,67,0,0,13,"6",0,0,20,2,0,1,0,1,1,1,21,NA,27,0,80,94,0,11,95,15,3,0,1.5,8
"89378",1,67,1,0,13,"6",0,0,20,2,0,0,0,1,0,0,27,NA,31,0,130,131,0,11,95,15,3,0,1.5,8
"29020",1,63,1,0,53,"6",0,0,20,2,0,0,0,0,0,0,25,NA,30,0,100,111,0,40,74,15,5,0,2,14
"29560",1,62,0,0,53,"6",0,0,20,2,0,0,0,0,NA,NA,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55029",1,61,0,0,53,"6",0,0,20,2,0,1,0,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57505",1,58,1,0,53,"6",0,0,20,2,0,0,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61594",1,62,1,0,53,"6",0,0,20,2,0,0,0,0,NA,NA,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77030",1,63,0,0,53,"6",0,0,20,2,0,0,0,0,0,0,34,NA,32,0,119,128,0,40,74,15,5,0,2,14
"78882",1,60,0,0,53,"6",0,0,20,2,0,0,0,1,0,2,22,NA,23,0,74,96,0,40,74,15,5,0,2,14
"84122",1,58,0,0,53,"6",0,0,20,2,0,1,0,2,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90225",1,60,1,0,53,"6",0,0,20,2,0,0,0,1,0,0,26,NA,33,0,84,104,0,40,74,15,5,0,2,14
"13016",0,65,0,0,50,"7",0,1,94,2,0,0,0,0,0,0,21,NA,28,0,108,116,0,NA,NA,NA,NA,0,2.5,5
"14863",0,51,1,0,50,"7",0,1,94,2,0,0,0,2,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15624",0,59,1,0,50,"7",0,1,94,2,0,0,0,1,1,1,20,NA,28,0,92,111,0,NA,NA,NA,NA,0,2.5,5
"30960",0,64,1,0,50,"7",0,1,94,2,0,0,0,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34134",0,64,1,0,50,"7",0,1,94,2,0,0,0,0,0,0,24,NA,26,0,107,115,0,NA,NA,NA,NA,0,2.5,5
"35332",0,67,0,0,50,"7",0,1,94,2,1,0,0,2,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35373",0,57,0,0,50,"7",0,1,94,2,0,0,0,0,0,1,19,NA,23,0,72,99,0,NA,NA,NA,NA,0,2.5,5
"51872",0,55,0,0,50,"7",0,1,94,2,0,0,0,1,2,3,18,NA,20,0,73,100,0,NA,NA,NA,NA,0,2.5,5
"56423",0,63,1,0,50,"7",0,1,94,2,0,0,0,1,0,0,24,NA,23,0,96,110,0,NA,NA,NA,NA,0,2.5,5
"59972",0,59,1,0,50,"7",0,1,94,2,0,0,0,2,1,2,14,NA,19,0,36,70,0,NA,NA,NA,NA,0,2.5,5
"64550",0,67,1,0,50,"7",0,1,94,2,0,0,0,0,0,0,26,NA,27,0,102,110,0,NA,NA,NA,NA,0,2.5,5
"67042",0,56,1,0,50,"7",0,1,94,2,0,0,0,1,0,0,23,NA,19,0,53,84,0,NA,NA,NA,NA,0,2.5,5
"68950",0,59,0,0,50,"7",0,1,94,2,0,0,0,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81507",0,46,0,0,50,"7",0,1,94,2,0,0,0,2,1,1,16,NA,12,0,40,87,0,NA,NA,NA,NA,0,2.5,5
"85588",0,68,0,0,50,"7",0,1,94,2,0,0,0,1,0,1,24,NA,27,0,84,96,0,NA,NA,NA,NA,0,2.5,5
"98691",0,69,1,0,50,"7",0,1,94,2,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99813",0,66,1,0,50,"7",0,1,94,2,0,0,0,0,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99933",0,65,1,0,50,"7",0,1,94,2,0,0,0,0,0,0,29,NA,26,0,101,111,0,NA,NA,NA,NA,0,2.5,5
"10989",1,81,0,1,37,"8",0,1,45,1,0,0,0,0,0,0,33,NA,33,0,126,112,0,21,89,22,5,10,2,45
"13068",1,80,0,1,37,"8",0,1,45,1,0,0,0,0,0,1,34,NA,33,0,111,102,0,21,89,22,5,10,2,45
"19922",1,80,0,1,37,"8",0,1,45,1,0,0,0,NA,0,0,31,NA,28,0,101,94,0,21,89,22,5,10,2,45
"22793",1,71,1,1,37,"8",0,1,45,1,0,0,0,0,NA,NA,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25338",1,76,1,1,37,"8",0,1,45,1,0,0,0,0,0,1,29,NA,30,0,108,104,0,21,89,22,5,10,2,45
"28641",1,72,1,1,37,"8",0,1,45,1,0,0,0,1,0,0,34,NA,34,0,124,120,0,21,89,22,5,10,2,45
"41475",1,77,0,1,37,"8",0,1,45,1,0,0,0,0,0,0,32,NA,33,0,91,89,0,21,89,22,5,10,2,45
"45247",1,76,0,1,37,"8",0,1,45,1,0,0,0,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64986",1,74,0,1,37,"8",0,1,45,1,0,0,0,0,NA,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70112",1,82,1,1,37,"8",0,1,45,1,0,0,0,0,NA,NA,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78430",1,67,1,1,37,"8",0,1,45,1,0,0,0,0,0,0,24,NA,17,0,103,109,0,21,89,22,5,10,2,45
"82310",1,70,1,1,37,"8",0,1,45,1,0,0,0,0,0,0,32,NA,30,0,114,114,0,21,89,22,5,10,2,45
"82893",1,71,0,1,37,"8",0,1,45,1,0,0,0,0,0,0,27,NA,29,0,94,100,0,21,89,22,5,10,2,45
"88695",1,75,1,1,37,"8",0,1,45,1,0,0,0,0,0,0,29,NA,27,0,89,91,0,21,89,22,5,10,2,45
"93115",1,76,0,1,37,"8",0,1,45,1,0,0,0,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93328",1,70,1,1,37,"8",0,1,45,1,0,0,0,0,0,0,29,NA,29,0,101,105,0,21,89,22,5,10,2,45
"94571",1,78,1,1,37,"8",0,1,45,1,0,0,0,0,1,0,28,NA,32,0,95,91,0,21,89,22,5,10,2,45
"95162",1,78,0,1,37,"8",0,1,45,1,0,0,0,0,0,0,33,NA,36,0,NA,NA,1,21,89,22,5,10,2,45
"16483",0,69,0,0,57,"9",1,0,0,1,0,0,0,2,0,2,32,NA,35,0,109,111,0,NA,NA,NA,NA,5,2,18
"17714",0,60,0,0,57,"9",1,0,0,1,0,0,1,0,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18454",0,70,0,0,57,"9",1,0,0,1,0,0,1,NA,NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38171",0,61,0,0,57,"9",1,0,0,1,0,0,0,1,0,0,18,NA,25,0,83,103,0,NA,NA,NA,NA,5,2,18
"42307",0,60,1,0,57,"9",1,0,0,1,0,0,0,0,NA,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47313",0,61,1,0,57,"9",1,0,0,1,0,0,0,0,0,0,20,NA,23,0,67,90,0,NA,NA,NA,NA,5,2,18
"48366",0,69,1,0,57,"9",1,0,0,1,0,0,0,1,0,0,26,NA,26,0,89,97,0,NA,NA,NA,NA,5,2,18
"65663",0,61,1,0,57,"9",1,0,0,1,0,0,0,1,2,0,26,NA,32,0,117,125,0,NA,NA,NA,NA,5,2,18
"68604",0,57,0,0,57,"9",1,0,0,1,0,0,0,1,0,NA,28,NA,28,0,NA,NA,0,NA,NA,NA,NA,5,2,18
"76167",0,57,0,0,57,"9",1,0,0,1,0,0,0,0,0,2,25,NA,25,0,77,101,0,NA,NA,NA,NA,5,2,18
"82254",0,58,1,0,57,"9",1,0,0,1,0,0,1,2,NA,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85418",0,70,1,0,57,"9",1,0,0,1,0,0,0,0,0,0,26,NA,28,0,116,117,0,NA,NA,NA,NA,5,2,18
"88237",0,65,0,0,57,"9",1,0,0,1,0,0,0,0,0,0,31,NA,30,0,109,115,0,NA,NA,NA,NA,5,2,18
"19548",1,74,1,1,2,"10",0,1,53,3,0,0,0,0,0,0,29,NA,32,0,127,121,0,6,45,21,3,50,2,5
"30929",1,80,1,1,2,"10",0,1,53,3,0,0,0,1,0,0,29,NA,31,0,119,109,0,6,45,21,3,50,2,5
"34033",1,72,0,1,2,"10",0,1,53,3,0,0,0,0,0,0,25,NA,21,0,98,101,0,6,45,21,3,50,2,5
"34095",1,78,1,1,2,"10",0,1,53,3,0,0,0,0,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46587",1,81,0,1,2,"10",0,1,53,3,0,0,0,0,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49845",1,72,0,1,2,"10",0,1,53,3,0,0,0,0,0,0,29,NA,31,0,110,109,0,6,45,21,3,50,2,5
"57467",1,76,0,1,2,"10",0,1,53,3,0,0,0,0,NA,NA,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64185",1,74,0,1,2,"10",0,1,53,3,0,0,0,0,0,0,27,NA,32,0,109,108,0,6,45,21,3,50,2,5
"64312",1,73,0,1,2,"10",0,1,53,3,0,0,0,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72199",1,77,1,1,2,"10",0,1,53,3,0,0,0,0,0,0,29,NA,28,0,124,114,0,6,45,21,3,50,2,5
"72958",1,73,1,1,2,"10",0,1,53,3,0,0,0,0,0,NA,28,NA,29,0,NA,NA,0,6,45,21,3,50,2,5
"72978",1,73,1,1,2,"10",0,1,53,3,0,0,0,0,0,0,27,NA,31,0,100,101,0,6,45,21,3,50,2,5
"76599",1,72,0,1,2,"10",0,1,53,3,0,0,0,0,0,0,30,NA,34,0,119,117,0,6,45,21,3,50,2,5
"90046",1,81,0,1,2,"10",0,1,53,3,0,0,0,0,0,0,34,NA,33,0,126,112,0,6,45,21,3,50,2,5
"98142",1,73,0,1,2,"10",0,1,53,3,0,0,0,0,0,0,26,NA,29,0,109,108,0,6,45,21,3,50,2,5
"98457",1,77,1,1,2,"10",0,1,53,3,0,0,0,0,0,0,29,NA,31,0,99,98,0,6,45,21,3,50,2,5
"400",0,63,1,0,22,"11",0,0,22,2,0,0,0,0,0,0,18,NA,22,0,73,93,0,NA,NA,NA,NA,13,1,20
"14485",0,63,1,0,22,"11",0,0,22,2,0,0,0,0,0,0,20,NA,26,0,63,86,0,NA,NA,NA,NA,13,1,20
"14925",0,58,1,0,22,"11",0,0,22,2,0,0,0,1,1,1,26,NA,21,0,81,103,0,NA,NA,NA,NA,13,1,20
"20886",0,62,0,0,22,"11",0,0,22,2,0,0,0,0,0,1,23,NA,20,0,63,86,0,NA,NA,NA,NA,13,1,20
"28462",0,57,0,0,22,"11",0,0,22,2,0,0,0,0,0,2,28,NA,30,0,110,124,0,NA,NA,NA,NA,13,1,20
"29514",0,60,1,0,22,"11",0,0,22,2,0,0,0,1,0,0,26,NA,27,0,59,85,0,NA,NA,NA,NA,13,1,20
"35847",0,66,0,0,22,"11",0,0,22,2,0,0,0,0,0,0,24,NA,28,0,76,91,0,NA,NA,NA,NA,13,1,20
"41571",0,46,0,0,22,"11",0,0,22,2,0,0,0,1,0,0,20,NA,17,0,55,98,0,NA,NA,NA,NA,13,1,20
"47696",0,56,1,0,22,"11",0,0,22,2,0,0,0,0,0,0,28,NA,27,0,97,117,0,NA,NA,NA,NA,13,1,20
"54142",0,67,0,0,22,"11",0,0,22,2,0,0,0,0,NA,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68944",0,45,0,0,22,"11",0,0,22,2,0,0,0,1,0,0,18,NA,21,0,85,122,0,NA,NA,NA,NA,13,1,20
"71186",0,63,1,0,22,"11",0,0,22,2,0,0,0,0,0,0,18,NA,20,0,64,87,0,NA,NA,NA,NA,13,1,20
"75177",0,52,0,0,22,"11",0,0,22,2,0,0,0,0,1,2,24,NA,28,0,97,122,0,NA,NA,NA,NA,13,1,20
"80111",0,68,0,0,22,"11",0,0,22,2,0,0,0,0,0,0,25,NA,28,0,99,106,0,NA,NA,NA,NA,13,1,20
"91652",0,52,0,0,22,"11",0,0,22,2,0,1,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",0,68,0,0,18,"12",0,1,95,2,1,0,0,NA,0,0,20,NA,27,0,87,98,0,NA,NA,NA,NA,27,2,16
"302",0,64,0,0,18,"12",0,1,95,2,0,0,0,3,3,3,22,NA,19,0,76,93,0,NA,NA,NA,NA,27,2,16
"303",0,60,0,0,18,"12",0,1,95,2,1,0,0,2,0,0,9,NA,14,0,55,83,0,NA,NA,NA,NA,27,2,16
"304",0,53,1,0,18,"12",0,1,95,2,1,0,0,0,0,0,23,NA,21,0,79,107,0,NA,NA,NA,NA,27,2,16
